content,word_count
kuongeza kasi kuchapisha vitambulisho taifa mamlaka vitambulisho taifa nida inakamilisha mchakato kununua mashine mbili zenye uwezo kuchapa vitambulisho saaakiwasilisha makadirio mapato matumizi wizara mambo nchi mwaka ujao fedha bungeni waziri kangi lugola mashine hizo zitaharakisha uchapaji tofauti zilizopo ambazo zinatoa vitambulisho saaalisema mashine hizo zitasaidia kuongeza kasi mwaka kuwafikia wananchi kuzingatia takwimu ukuaji ongezeko watakaofikia umri miaka lugola amesema mwaka sh bilioni zimetengwa ajili kuendelea kutekeleza kazi utoaji vitambulisho taifa mikoa yotealisema kasi utoaji vitambulisho inatakiwa kwani machi mwaka mamlaka imefanikiwa kusajili sawa asilimia lengo kusajili aidha mamlaka imetoa namba utambulisho taifa wananchi ikiwa sawa asilimia waliosajiliwa mamlaka imeshachapisha vitambulisho kugawa wananchi aidha kuongeza kasi wizara itaendelea programu kuelimisha umma umuhimu vitambulisho taifa“lakini itaendelea upembuzi yakinifu ujenzi ofisi usajili wilaya ambapo zitajengwa bara tatu zitajengwa zanzibar ofisi makao makuu mamlaka jijini dodoma mifumo tehama” alisemaaidha ujenzi ofisi hizo ufunguzi mifumo tehama utaanza kukamilika upembuzi yakinifu huo“kazi hizo zitatekelezwa mkopo masharti nafuu serikali korea sh bilioni ambazo zimetengwa mwaka ” alisemalugola amesema mamlaka inashirikiana taasisi nyingine kutumia namba utambulisho taifa kutoa huduma ikiwemo idara uhamiaji mamlaka mapato tra wakala usajili biashara brela mfuko taifa bima afya nhif mamlaka mawasiliano tcra taasisi fedhaalisema mamlaka imeunganishwa ofisi mbili usajili wilaya mbinga ruvuma busegasimiyu mkongo taifa mawasiliano kufanya ofisi zilizounganishwa kufikia ofisi hizo zipo bara saba zipo zanzibaralisema wizara kupitia nida imeanzisha utaratibu kuvipeleka vitambulisho taifa ofisi watendaji kata ajili kuongeza kasi ugawaji wananchialisema mamlaka imeanzisha utaratibu unaowezesha wananchi kupata nakala kitambulisho tovuti mamlaka wwwnidagotz wananchi wanaweza kupata namba utambulisho taifa kupitia simu zao viganjani piaawali maswali majibu bungeni mbunge viti maalumu felista bura ccm alitaka kujua itakuwaje wananchi kusajili laini zao kutumia vitambulisho taifa hawanavyoakijibu naibu waziri ujenzi uchukuzi mawasiliano atashasta nditiye usajili utaanza mei mosi mwaka utafungwa disemba mwaka namba zote ambazo hazijasajiliwa zitafungwaalisema watafanya marejeo mwezi septemba mwaka kuona changamoto gani zimejitokeza kuhakikisha watanzania wanasajiliwa kadiri maelekezo trca,307
kampuni zimejitokeza kununua ufuta wilaya ruangwa nachingwea liwale mkoani lindi kupitia chama chao kikuu ushirika runali kampuni saba zilishinda mnada huochama hicho mnada tano kilikuwa tani maghala mbalimbali yaliyopo nachingwea liwale ruangwa ambapo mnada ulifanyika kijiji namkatilakatika mnada uliosimamiwa mrajisi ushirika mkoa lindi robert nsunza kampuni hizo zilitaka kununua ufuta shilingi kuanzia kampuni hizo fedha walizoahidi kununulia ufuta mabano olam tani sh scalable tani sh alpha choice tani sh alpha choice tani sh sm holdings tani sh hs impex tani sh sunshine tani sh yihai hyseas tani sh bei mnada kwanza uliofanyika juni mwaka ambapo bei sh akizungumza kabla kutaja makampuni bei kampuni mahitaji mrajisi ushirika mkoa lindi nsunza bei inaweza kuonekana imeshuka ipo vizuri kazi wakulima kuamua wauze ufuta wasiuzealisema asilimia ufuta unaonunuliwa kampuni hizo hupelekwa china kushuka bei kunatokana mwenendo soko hilo china mnada wananchi kukubali kuuza ufuta mwenendo soko wameitaka serikali kuimarisha soko ufuta kutokana kazi uzalishaji inayokumba wakulimaveronica kisimbo amefurahishwa uwazi mnada japo bei imeshuka kuliko mnada uliopita “tumepata shida sababu kilo pungufu bei pungufu waliokuwa bei mahitaji makubwa hatukuweza kukidhi” veronica mkulima namatambarare salum omar matarajio mkulima kupata kidogo kinasaidia kutaka serikali kutafuta masoko wasiumie anafurahishwa uwazi mnada kuitaka serikali kukaza nia kusaidia wakulima soko ufutawakati mwenyekiti runali hassan mpako ametaka wanachama vyama msingi wilaya ruangwa kuhakikisha wanajenga maghala kupunguza gharama zinazosababishwa umbali usafirishaji gharama kutunza bidhaa mbalimbalialisema changamoto maghala kutaka vyama msingi kuhakikisha wanajenga maghala ajili uhakika usalama bidhaa wanazovuna mashambani alivitaka vyama ushirika msingi namatambarare tekenyela kuunganisha nguvu kujenga maghala hayo kupunguza gharama usafirishaji usalama mazao,253
takwimu hospitali taifa muhimbili mnh zinaonesha wastani wagonjwa ukimwi wagonjwa ndio ambao wako kliniki ugonjwa kupatiwa dawa wameacha kutumia dawakwa mujibu ripoti ambapo hospitali imejiwekea utaratibu ripoti miezi mitatu yaani nne mwaka wagonjwa ambao wanaacha dawa kupunguza makali virusi ukimwi kutokana sababu mbalimbali ikiwa kukimbilia maombi wakiamini kupona kutumia tiba mbadala vitunguu saumuaidha sababu nyingine wagonjwa kuacha dawa zimeelezwa unyanyapaa jamii vifo vinavyotokana hasa kutozingatia matumizi sahihi dawa mkuu kitengo magonjwa kuambukiza dk amina mgunya akizungumza gazeti hili karibuni bado wanaacha kutumia dawa kupunguza makali vvu matokeo wakizidiwa hurudi hospitali wakiwa hali mbaya kupoteza maisha kabisa“watu kutokubaliana hali kuona soni kuja kliniki kukimbilia tiba mbadala hasa tiba lishe mambo kutumia vitunguu saumu imeshika kasi wanaacha kumeza dawa jambo ambapo linasababisha afya zao kuharibika” dk mgunya baadhi wagonjwa wanakwenda maombi wanaamini wamepona hawaendelei kutumia dawa“siku hizi serikali imeweka utaratibu ambao wakigundulika wameathirika ugonjwa huanzishwa dawa papo zinawasaidia shida ambao wanaacha dawa wanakuja hatua nne wanakua wapo vibaya magonjwa nyemelezi kwani kinga inakua sana” aidha sababu nyingine wameambiana dawa kupunguza makali vvu zinaua figo jambo ambalo sio sahihi “nina mgonjwa amegoma kabisa anasema ana uhakika mtu kaua figo kutumia dawa hizi” daktari huyo,191
idadi vifo waendesha bodaboda nchini vitokanavyo ajali imepungua kipindi robo kwanza mwaka kinachoanzia januari machi ikilinganishwa idadi vifo bodaboda kipindi hicho mwaka jana mwanasheria kikosi usalama barabarani afande deusi sokoni akizungumza gazeti hili mahojiano maalumu idadi waendeshaji bodaboda waliopoteza maisha mwaka majeruhi wakiwa mwaka jana kipindi hicho waliopoteza maisha waliojeruhiwa sokoni aliongeza robo kwanza mwaka upande waendesha baiskeli waliopoteza maisha ajali barabarani idadi ambayo sawa majeruhi mwaka jana kuanzia januari machi idadi waliokufa waliojeruhiwa wakiwa waendesha mikokoteni tisa wamekufa wanne wamejeruhiwa mwaka jana aliyekufa walijeruhiwa kundi watembea miguu ambalo waathirika wakubwa ajali mwaka wamekufa kujeruhiwa mwaka jana waliokufa kujeruhiwa upande abiria waliokufa ajali mwaka wamekumbwa majeraha mbalimbali mwaka jana waliokufa majeruhi,111
serikali imeyafuta mashamba sita yenye ukubwa hekari kampuni mohamed enterprises yaliyopo korogwe mkoa tangauamuzi unatokana mapendekezo yaliyotolewa halmashuri wilaya korogwe kutokana kutoendelezwa mrefu baadaye maombi yaliwasilishwa rais wizara nia kufutwamashamba yaliyofutwa yapo eneo mombo mabogo kwalukonge akizungumza kutembelea mashamba hayo jana naibu waziri ardhi nyumba maendeleo makazi dk angelina mabula mashamba yaliyobatilishwa mashamba yanayomilikiwa kampuni mohamed enterprises mazinde wilayani korogwealisema uamuzi unalenga kujenga nidhamu waliopewa rasilimali serikali kuzingatia masharti uwekezaji halmashauri wilaya korogwe kupeleka mapendekezo kufutwa wizara ilifanya ufuatiliaji kujiridhisha ikawasilisha maombi hayo rais kuridhiwanaibu waziri uamuzi rais kuridhia ubatilishaji mashamba sita unalenga kuhakikisha waliopewa maeneo ajili uwekezaji wanazingatia masharti taratibu uwekezajimabula mashamba ambayo hayajabatilishwa yamewekewa utaratibu nia kuyaboresha baadhi yanahitaji maboresho nia kufanya vizuri aliitaka halmashauri korogwe kuweka mpango matumizi bora ardhi eneo mashamba yaliyofutwa kipaumbele watakaopewa maeneo mashamba hayo wananchi waliokuwa wakiishi mashamba hayosehemu itakayobaki atafutwe mwekezaji mwingine lengo serikali uwekezaji viwanda alimpongeza mkuu mkoa tanga martin shigela kufanya kazi nzuri kufutilia kusimamia maagizo mbalimbali tangu rais alipoanza kubatilisha mashamba ambayo hayajaendelezwa mkoa tangamkuu mkoa tanga martin shigela aliwataka wananchi korogwe kutovamia maeneo mashamba yaliyobatilishwa halmashauri itakapopanga matumizi bora ardhi mashamba hayoalisema wiki ataitisha mkutano wataalamu sekta ardhi bodi mkonge kuangalia matumizi ardhi iliyobatilishwa wananchi uwekezaji,198
taasisi sekta binafsi tpsf imesema suala vijana kukosa kazi litapungua kuanzishwa mabaraza ujuzi kisekta kuhakikisha suala ujuzi linafanyiwa kazi kupitia elimu inayotolewa vyuo mbalimbali ambayo itaendana mahitaji soko kukuza uchumi viwanda mkurugenzi mtendaji tpsf godfrey simbeye hayo juzi mjini morogoro warsha kuandaa wajumbe mabaraza kisekta yenye nia kuwafanya waweze kufahamu majukumu yaosimbeye mkakati kukuza ujuzi nchini taasisi kushirikiana serikali imedhamiria kuunda baraza ujuzi taifa itakuwa nchi pili bara afrika yenye mfumo huo“tpsf watekelezaji mkakati kitaifa kukuza ujuzi ndio inayohusika kipengele kuunda mabaraza ujuzi sekta sita ambazo muhimu kiuchumi” simbeye aliyataja mabaraza hayo kisekta kilimo biashara utalii nishati ujenzi tehama usafirishaji ambazo zote hizo zitakuwa mabaraza kukuza ujuzialisema mabaraza kisekta yanatokana mkakati kitaifa mwaka unaolenga kukuza stadi ujuzi nchini miaka ijayo mabaraza hayo yatahusu vijana licha awali kuwepo changamoto namna kuwaunganisha maeneo ama sehemu biashara simbeye mabaraza hayo yatatakiwa kasi teknolojia inayobadilika viwanda vinavyoendelea vinavyoanzishwa kufanya utafiti kuwafikia vijana maeneo mbalimbali nchinialisema juni mwaka waziri elimu sayansi teknolojia pro fesa joyce ndalichako anatarajiwa kuzindua mabaraza kisekta dar es salaam baadaye litaundwa baraza ujuzi taifamwenyekiti chama wasindi kaji maziwa fabian mwakatuma mjini sekta binafsi nchini ujuzi unapatikana mitaala iliyopo haitoi wenye ujuzi kufanya kazi ujuzi fulani sekta husika kutokana upungufu uliopomwakatuma alitolea mfano sekta maziwa nchini hakuna chuo kinachofundisha usindikaji maziwa wachache waliopo wamesoma masomo ujumla chuo kikuu sokoine kilimo sua,219
kamishna jenerali jeshi zimamoto uokoaji nchini thobias andengenye amefanya mabadiliko baadhi makamanda mikoa nchinimakamanda walioguswa mabadiliko hayo kamishna msaidizi zimamoto mohamed kondo aliyekuwa kamanda zimamoto uokoaji mkoa kinondoni ambaye anahamishiwa mkoa mbeyakwa mujibu msemaji jeshi zimamoto uokoaji makao makuu joseph mwasabeja kamishna msaidizi juma yange aliyekuwa kitengo utawala mkoa kinondoni anakuwa kamanda kinondoniwengine mrakibu msaidizi zimamoto john francis aliyekuwa chuo zimamoto uokoaji handeni mkoani tanga anaenda kamanda zimamoto uokoaji mkoa rukwaaidha aliyekuwa kamanda zimamoto uokoaji mkoa kigoma mrakibu msaidizi zimamoto athumani basuka anakuwa kamanda wilaya hai – siha nafasi inachukuliwa mrakibu msaidizi jumbe jumapia aliyekuwa kamanda kiwanja ndege mkoa iringa mkaguzi zimamoto hamisi dawa anaenda kamanda zimamoto uokoaji mkoa kageramsemaji huyo amesema mabadiliko haya kawaida yanayotokea jeshi zimamoto uokoaji kuongeza ufanisi utendaji kazi“jeshi zimamoto uokoaji linaendelea kutoa mwito wananchi kuendelea kutoa ushirikiano makamanda zimamoto uokoaji mikoa wilaya suala kinga tahadhari dhidi,141
kukuza sekta utalii nchini shirika utangazaji tbc limeanzisha chaneli utalii inayoitwa ‘tanzania safari channel’ iliyoanzishwa ushirikiano wadau utaliiwadau hao shirika hifadhi taifa tanapa mamlaka uhifadhi ngorongoro ncaa bodi utalii tbc ilianza kurusha vipindi majaribio kuanzia desemba ilipozinduliwa waziri mkuu kassim majaliwa mujibu mkuu kitengo mawasiliano tbc edna rajab mwaka tanapa waliishirikisha tbc wazo kuanzisha chaneli kutangaza utalii nchini nje nchitanapa walisema wasingeliweza kuanzisha chaneli televisheni peke sababu uendeshaji chombo habari haikuwa majukumu shirika hilo baadaye wazo lao likapata msukumo rais john magufuli alipozuru ofisi tbc mei kuelekeza uongozi tbc uangalie uwezekano kuanzisha chaneli utalii kushirikiana tanapa wakuu taasisi ambazo wadau utalii tanapa ncaa ttb tbc wakasaini mkataba kuanzisha chaneli utalii jijini dodoma juni milango wazi wadau kujiunga wadau bodi filamu tfb idara uvuvi mamlaka uhifadhi wanyamapori tawa wakala misitu tfs kamisheni utalii zanzibar shirika utangazaji zanzibar zbc wakajiunga safari channel ifanye kazi ufanisi wadau utalii wamekubaliana kutoa bajeti sh bilioni tano kufanikisha uendeshaji chaneli mahususi kutangaza utalii vivutio vyake nchinimwenyekiti kamati chaneli aliyekuwa katibu mkuu ofisi waziri mkuu sera uratibu kabla kuteuliwa katibu tawala mkoa kagera profesa faustin kamuzora jijini dar es salaam mwishoni mwa mazungumzo hayo profesa kamuzora anabainisha fedha hizo zitatumika miezi sita kununua vifaa kuweka wataalamu kununua vipindi anaweka wazi chaneli haijafikia maudhui kutosha wanavyokusudia wadau wamejipanga kuhakikisha miezi sita suala hilo linapatiwa ufumbuzi tarajiwa“wadau wakubwa wameonesha utayari wamekubali miezi sita iliyobakia bajeti watatenga fedha kutosha bajeti inayofuata ajili hiyo” anaeleza hatua kuanzisha chaneli utalii imekuja sahihi kuhamasisha utalii kwani watanzania wengi hawatembelei vivutio utalii kudhani wageni nje nchi wazungu ndio wanaopaswa kutembelea hifadhi wanyama kuangalia kumbukumbu vivutio mbalimbaliseptemba aliyekuwa daktari mkuu wanyamapori shirika hifadhi taifa tanapa dk titus kamani watanzania wengi hawana uelewa vitu faida inayopatikana endapo watatembelea hifadhi taifa sahihi kuchangamkia fursa utalii zilizopo dk kamani aliyekuwa waziri mifugo maendeleo uvuvi awamu nne mwenyekiti tume maendeleo ushirika alinukuliwa chombo kimoja habari akisema mfumo watanzania kutotembelea hifadhi wanyama ulijijenga tangu awali serikali ilipotenga maeneo maalumu hifadhi kwani hawakuwashirikishwa kutoshaanasema upo umuhimu wananchi watalii nchi wajue tabia mbalimbali wanyamapori ambao tabia zao hufanana zile kibinadamu “unajua hawajui tabia wanyama sababu hawatembelei hifadhi wanyama sokwe huweka matanga ikitokea familia amekufa… kitu hicho watanzania wengi hawajui” anasemadk kamani anasema changamoto iliyopo watanzania lazima wawe wadau muhimu utalii kwani wanapotembelea sehemu hizo hujifunza tabia mbalimbali wanyama kujua aina zao tofauti mantiki naamini ndiyo maana shirika hifadhi taifa limekuja wazo kuanzisha ‘tanzania safari channel’ kuonesha umuhimu utalii watanzania wasioelewa umuhimu kutembelea hifadhi wanyama vivutio utalii miaka mingi watanzania wengi wamekuwa hawana utaratibu kutembelea vivutio maeneo mbalimbali hifadhi sehemu kihistoria makumbusho sehemu nyingine zinazovutiamara nyingi wengi wanaposikia masuala utalii huwa wanajitoa kabisa kuona hawastahili kundi watalii wengi wanaamini kimakosa utalii upo ajili nje nchi hususan wazungu utamaduni walionao mambo utalii hausaidii kidogo kukuza utalii ndanindiyo maana ninasema jamii inapaswa kubadilika kabisa mintarafu suala hili iachane mambo yasiyo tija maisha taifa jamii iingie utalii wawe watalii nchi waburudike wajifunze wachangie pato taifa kushiriki utalii watanzania watavutia watalii nje nchi tuache kusubiri wazungu ndio tuwaone watalii sisi wenyewe watalii hatua kwanza kuanza kufanya vitendo kabisa tujenge utamaduni mzuri kufanya tutakuwa tunajivunia kwetu tutajivunia vitendo uhalisi urithi wetu kwani imebarikiwa vitu vingi ambavyo wengi wanataka kuviona nje nchitunaposema utalii tunamaanisha wageni watalii wanaotakiwa kutembelea vivutio mbalimbali tulivyo navyo watanzania wenyewe hasa wazawa watanzania hatuwezi kusingizia hatuna sehemu kutalii sehemu kutembelea vivutio nchi yetu imejaa tele nchi yetu imebarikiwa nchi yetu ina vivutio vyote kihistoria kiasili mujibu takwimu zilizopo tunayo maeneo yasiyopungua hifadhi taifa zikiwemo hifadhi ruaha katavi rubondo ziwa manyara mikumi kadhalika yapo mapori akiba yapatayo yakiwemo mapori selous rungwe swagaswaga uwanda biharamulo lukwati ibanda kilomita fukwe bahari zenye mandhari nzuri kuvutiamaeneo haya hayajaathiriwa athari mbaya uharibifu mazingira visiwa unguja pemba mafia ambavyo maarufu utalii hasa utalii ufukweni haitoshi yapo maeneo mengi kihistoria ukianzia makumbusho miji mikogwe zanzibar kilwa kisiwani maeneo haya oldupai gorge bagamoyo kilwa zanzibar nk ukizungumzia milima tumebarikiwa milima yenye mandhari kuvutia usambara meru udzungwa uluguru rungwemlima mrefu kuliko yote barani afrika kilimanjaro unaofahamika duniani upo kusahau imezungukwa maji upande kaskazini ziwa pili ukubwa duniani victoria ambalo limeunganishwa mto mrefu kuliko yote barani afrika mto nile kusini ziwa nyasa upande magharibi ziwa tanganyika lenye kina kirefu duniani lenye historia mandhari nzuri utalii ndiyo urithi wetu watanzania tunaotakiwa kuuenzi kuutunza kuutumiani wazi mtanzania anaweza nafasi angalau miaka miwili kufanya jambo hili muhimu maisha nchi yetu tutembelee hifadhi mbuga wanyama tutembelee fukwe bahari tutembelee sehemu kihistoria tuitembelee yetu wenyewe mali zetu wenyewe wanyama wetu wenyewe misitu yetu wenyewe nchi yetu wenyewe nje ndio wafurahie vitu tulivyo navyo kuliko sisi wenyewe tuwategemee watalii nje kukuza pato tuukatae vitendo usemi “penye miti hakuna wajenzi”,758
uamuzi serikali kuzuia kuchapishwa ripoti shirika fedha kimataifa imf kuhusu hali uchumi nchini umeungwa mkono nje nchi mtazamo uliotolewa mtaalamu uchumi dk mumbi seraki kenya anayeunga mkono uamuzi serikali ukisambaa kusomwa kasi duniani kotewaziri fedha mipango dk philip mpango aliliambia bunge karibuni timu imf ilikuwepo nchini kuanzia novemba desemba dk mpango imf ilitoa taarifa ambayo kiutaratibu lazima irudi serikalini serikali iweze kutoa maoni ambayo imf wanapaswa kuyazingatia kabla kuichapisha ripoti hiyoalisema aliiona ripoti imf machi mwaka kushangaza maoni serikali hayakuzingatiwa taarifa yaokwa mujibu waziri mpango alipokuwa mjini washington nchini marekani alipata fursa kuzungumza mkurugenzi imf idara afrika abebe selassie walifanya mazungumzo saa tisa alasiri machi mwaka kuhusu jambo hilokatika hilo dk mpango alilieleza bunge utaratibu bodi utendaji imf kuijadili taarifa serikali nayo inakuwa siku kuipitia kuamua ama itolewa labaada hayo yote kutokea kumekuwa mitazamo chanya nje nchi kuhusu uamuzi serikali kuzuia ripoti isichapishwe kwanza mpaka maoni serikali yatakapozingatiwammoja wadau waliotoa maoni kuhusu hatua mtaalamu masuala uchumi kenya dk serakikupitia mtandao youtube ‘the dr mumbi show let’s talk africa’ anasema kupata uhuru nchi afrika zilijiunga kwanza umoja mataifa un baadaye benki dunia imfdk mumbi msimamo umeishitua imf hawakutarajia kukutana jambo hilo ripoti kuzuiwa kuchapishwa jambo geni mataifa afrikaalisema imf hawakutarajia sababu mataifa mengi afrika yamekuwa yakizipokea ripoti hizo kuzisoma wakiwa hawana uwezo kuzipinga kuzikosoa ilivyofanya tanzaniaalisema imf wb walianzisha mpango kurekebisha muundo uchumi sap ambao ulisababisha kubinafsishwa mashirika umma mashirika umeme kuchukuliwa migodi kisingizio uwekezaji kuongeza mataifa afrika yanapaswa kujua hakuna kitu bure dunia hiikwa mujibu dk mumbi imf imekuwa ikikosoa utawala rais magufuli madai umesababisha kuwepo mazingira duni uwekezaji utekelezaji duni miradi hali inayoweza kuifanya taifa hilo lisifikie ukuaji uchumi asilimia mwaka huu“chini rais magufuli rahisi wageni nje nchi kumiliki ardhi ilivyo kenya magufuli amekuwa akiwapigania kuwalinda wanyonge amekataa makampuni kigeni kudhibiti sekta madini kilimo ambako ndiko wanawekeza fedha nyingi ndiyo maana wanasema mtindo utawala rais magufuli mzuri kibiashara wawekezaji wanaowaamini huamua kuondoa fedha zao”alisema dk mumbialisema serikali magufuli ilishapiga marufuku tafiti takwimu zinazohusu kutangazwa kuthibitishwa kwanza serikalialisema jambo hilo muhimu namba zina maana dk mumbi hatari mfano utafiti unasema wanawake milioni kenya wana tatizo fulani kiafya asilimia waafrika wameathirika ukimwi jambo hilo litaathiri sera nchi itatoa fursa shirika afya duniani who kuja mlango mwingine kusema unaleta chanjo tatizo husikaili nchi afrika ziondokane tatizo kufanyiwa tafiti mambo dk mumbi vyema nchi hizo afrika kuanza kuwatumia watafiti watakwimu wanahesabu wanasayansi yenyewe badala kusubiri kufanyiwa kitumbali dk mumbi madau mwingine aliyezungumzia suala hilo katibu tawala mkoa songwe ambaye aliwahi mbunge kasulu tiketi chama nccrmageuzi david kafulilakatika kujibu hilo kafulila kosa wala nchi kupinga makadirio maoteo ukuaji uchumi pili maoteo imf lazima yawe sahihi ilivyotokea baadhi nchi ikiwemo india argentina venezuelakwa mujibu kafulila mwaka fedha imf ilikadiria uchumi india kushuka maoteo ukuaji asilimia mpaka asilimia kufika mwisho mwaka ukuaji halisi uchumi india ulikua asilimia sawa tofauti asilimia mujibu azeti maarufu nchini india the hindu oktoba waziri fedha india palaniappan chidambaram alinukuliwa kupinga takwimu imf kusema haelewi imf wametoa wapi takwimu kufikia hitimisho anguko hilo ukuaji uchumi kwani miezi miwili tangu makadirio awali kuonesha uchumi india ungekua asilimia katibu tawala huyo tatizo makadirio imf kukosa uhalisia lilijitokeza nchi mbalimbali indiaalisema ripoti kituo utafiti masuala sera uchumi ‘center for economic and policy research’ chenye makao makuu washington dc marekani aprili kiliwahi kuchapisha makala kitafiti kuonesha kasoro maoteo ukuaji uchumi yanaofanywa imfkasoro hizo namna zilivyo namna zilivyojitokeza kafulila ziliifanya taasisi kuweka mashaka makubwa shirika imf linafanya kazi msukumo kisiasa imf ilikosea makadirio ukuaji uchumi nchi argentina miaka saba mfuĺulizo“mwaka imf ilikadiria ukuaji uchumi argentina asilimia ukuaji ukawa asilimia hasi sifuri nukta nane sawa tofauti asilimia mwaka imf ilikadiria ukuaji uchumi asilimia ukuaji halisi ukawa asilimia hasi nne nukta nne sawa tofauti asilimia mwaka imf ilikadiria ùkuaji uchumi asilimia ukuaji halisi ukawa asilimia hasi kumi nukta tisa sawa tofauti asilimia ”alieleza kafulilaaliongeza mwaka imf ilikadiria ukuaji uchumi asilimia ukuaji halisi ukawa asilimia sawa tofauti asilimia hasi saba nukta nane mwaka imf ilikadiria ukuaji uchumi asilimia ukuaji halisi ukawa asilimia sawa tofauti asilimia hasi tano mwaka imf ilikadiria ukuaji uchumi asilimia ukuaji halisi ukawa asilimia sawa tofauti asilimia hasi tano nukta mbili mwaka imf ilikadiria ukuaji uchumi taifa hilo asilimia ukuaji halisi ukawa asilimia sawa tofauti asilimia hasi nne nukta tatu upande nchi venezuela imf ilifanya makosa kukadiria ukuaji uchumi nchi miaka mitano mfuĺulizoalisema mwaka imf ilikadiria ukuaji uchumi venezuela asilimia ukuaji halisi ukawa asilimia mwaka ilikadiria ukuaji uchumi asilimia ukuaji halisi ukawa asilimia mwaka ilikadiria ukuaji uchumi asilimia ukuaji halisi ukawa hasi nane nukta tisa mujibu kafulila mwaka imf ilikadiria ukuaji uchumi asilimia ukuaji halisi ukawa hasi saba nukta nane mwaka ilikadiria ukuaji asilimia ukuaji halisi ukawa asilimia mwaka ilikadiria ukuaji asilimia ukuaji halisi ukawa asilimia mwaka ilikadiria ukuaji uchumi asilimia ukuaji halisi ukawa asilimia tatizo kukosewa maoteo ukuaji uchumi limekuwa mjadala wachumi wengi duniani kutokana shirika hilo duniani kubadili takwimu mfupi inavyoonekana jukwaa kiuchumi duniani world economic forum ambapo kulikuwa makala iliyosema miezi imf imerekebisha takwimu nne“ni msingi mwana uchumi benki duniani australia and new zealand banking anz mwaka manoji basantial aliandika uchambuzi oktoba wenye kichwa “the imf missed it again it is indeed frustrating” ikielezea tatizo hilo mbele kusema hali imf kurekebisha takwimu maoteo nyingi kipindi kifupi kinaweka mashaka kuhusu umakini ripoti makadirio ukuaji uchumi”alisema kafulilaalisema kuzingatia maoni wachumi hao kilichotokea nchi alizozitaja hususani argentina venezuela vinampa mashaka kuziamini ripoti imf hasa mwenendo utawala serikali awamu tano rais magufulikafulila kiasi kikubwa mwelekeo rais magufuli kudhibiti rasilimali nchi zilizokuwa zikiporwa mrefu haujazipendeza nchi zilizokuwa zikinufaika uporaji kupitia kampuni kimataifaalisema ndiyo ukweli mchungu ambao watanzania wanapswa kuujua kwani mbinu hizo zilitumiwa imf nchi alizozitaja“katika msingi ninaendelea kuamini takwimu maoteo imf mwezi aprili kuhusu ukuaji uchumi kuporomoka mpaka asilimia naziona takwimu mashaka kuzingatia mifano nchi nilizotaja awali“sababu pili inayonifanya nizione takwimu mashaka kutokana ukweli takwimu hizo bado zimetofautiana takwimu benki dunia ambazo makadirio uchumi utakua asilimia takwimu benki afrika zikionesha uchumi utakua asilimia ”alisisitiza kafulilambali sababu hizo mbili kafulila sababu nyingine tatu iliyomfanya aone mashaka kutokana msimamo mpya kisera kuhusu ulinzi rasilimali manufaa watanzania mwelekeo ambao umekosolewa imf washirika wakitaja kutokutabirika kiseramtaalamu uchumi chuo kikuu dar es salaam profesa humphrey moshi ripoti imf zimekuwa kiitikadi mlengo kisiasa haziakisi ukweli halisi hazichangii maendelo husikaprofesa moshi vigezo vyao utafiti havitofautishi nchi zilizoendelea zinazoendelea nchi masikini bali vigezo vyao hutumika nchi zote jambo ambalo haliwezi kuleta uhalisia“huwezi kupima hali uchumi kuangalia vigezo china marekani ukifanya utafiti wako unakuwa hauna maana yoyote ndiyo maana nchi asia kusini asia mashariki hawaziamini ripoti imf wala hawazifanyii kazi wameamua kufanya mambo wenyewe ndiyo maana wamefanikiwa uwekezaji nchi zao”alisema profesa moshiamesema sekta binafsi huwa hawawekezi ujenzi miundombinu barabara reli umeme sababu faida inachukua mrefu ndiyo maana serikali awamu tano imeamua kuwekeza miundombinu kurahisisha uwekezaji sekta binafsi inakuwaje mtu aje utafiti kusema uchumi umeshuka,1107
askari jeshi polisi namba h konstebo daniel kituo polisi wilaya kyela mkoani mbeya anasakwa polisi kutoroka akituhumiwa kumpa ujauzito mwanafunzitaarifa iliyotolewa vyombo habari kaimu kamanda polisi mkoa mbeya sebastian mbuta ilieleza mei mwaka asubuhi konstebo daniel alitakiwa kuingia kazini hakuingiambuta kufuatilia ilibainika askari huyo alitoroka kutuhumiwa kumpa ujauzito mwanafunzi shule sekondari kyela anayesoma kidato kwanza jina limehifadhiwaaliongeza jeshi polisi linaendelea juhudi kumtafuta askari huyo hatua kinidhamu zichukuliwe dhidi ikiwa kumfikisha vyombo sheriawakati kaimu kamanda huyo abiria waliokuwa wakisafiri lenye namba usajili aug scania mali kampuni sasebosa wamenusurika kufa gari kupata ajalialisema ajali ilitokea juni mwaka saa asubuhi eneo mlima yasini lililopo wilaya chunya mkoa mbeya barabara chunya – makongorosialisema hilo linalomilikiwa kampuni sasebosa lilikuwa likiendeshwa dereva seleman salehe mkazi tabora ambaye alitoroka ajalialisema hilo kupinduka lilisababisha majeruhi abiria tila mbeyu mkulima mkazi dar es salaam aliyeumia kiunoni jane damiani mkulima kibaoni chunya aliyeumia kifuani mkono kushoto waliopelekwa kutibiwa hospitali rufaa kanda mbeyaalisema chanzo ajali kinachunguzwa polisi inaendelea kumtafuta dereva huyo aliyetoroka,161
