headlines,word_count
kiongozi wawili kikaangoni,3
ruangwa yafanya kweli miradi maji,5
marekani yaishuku urusi kukiuka mkataba nyuklia,6
watumishi umma kuula,3
ccm yatoa siri ushindi uchaguzi,5
vifaa yanga kupishana undege dar,5
cardi b amjaribu minaj meek mill,6
daley blind afurahia kujiunga ajax,5
uchaguzi mitaa wafanyika utulivu,4
rais atoa neno zito mahasimu jk,6
waziri awatoa hofu wawekezaji,4
waliokutwa tausi ikulu kulipa mil,5
masonara wapewa wiki wajisalimishe,4
singano aibwaga simba,3
haki ikiongezeka itapanda uchumi,4
ndege yalipuka wafa urusi,4
jpm laini simu zisajiliwe desemba,5
mwanahisa mwingine jamii forums mbaroni,5
who yatayarisha programu kujipima corona simu,6
tma mnawatendea haki watanzania,4
machafuko yanukia drc kutangazwa hakuna uchaguzi,6
costech yawajengea uwezo wabunifu,4
malezi mzazi yanahitaji umakini,4
lowassa waliniombea nife nadunda,4
alie mfuate huko huko,4
usiku ulaya kuendelea leo,4
mtoto aliyeishi kula mafuta atamani daktari bingwa,7
mzumbe wajivunia wahitimu wanawake,4
jkt yaanza kuivutia kasi yanga,5
operesheni ukuta ilivyoitikisa serikali,4
serena venus umri tatizo tenesi,5
sakata mtoto lamliza sugu,4
sane awatoa wasiwasi manchester city,5
lazima wakae ngao jamii,4
uingereza yamwaga mabilioni,3
serikali yapokea ripoti ajali mv nyerere,6
serikali kuboresha mfumo biashara,4
mayanja atamba kuwapa raha simba,5
agnes masogange ajisalimisha mahakamani,4
cuf watembeza bakuli kusaka fedha kampeni,6
korti yaidhinisha ushindi kenyatta,4
messi azima furaha darajani,4
ofisa utamaduni afa ajali gari arusha,6
muhimbili yapandikiza vifaa usikivu,4
kiwanda general tyre reli arusha kufufuliwa,6
wanawake wanavyoshawishika kujiunga ugaidi,4
dj khaled aongeza mtoto pili,5
tetesi soka ulaya jumamosi,4
aliyejifunga mirungi mimba anaswa,4
vikosi simba yanga kmc vinavyoanza michuano caf leo,8
imf yaitahadharisha,2
samia kufungua jukwaa biashara lindi,5
afariki dunia kunywa pombe kali,5
vifo majeruhi ajali moro waziri atoa maagizo muhimbili,8
jenas solskjaer sahihi kuifundisha man united,6
wakulima korosho watumishi umma kicheko,5
mawakili wahaha kumnusuru yusuf manji,5
papa francis awakemea makasisi waovu,5
siri ‘watoto kamwene’ kuwabwaga mastaa sziff,6
kocha simba ataka mabao mengi,5
rais magufuli amlilia dk kaborou,5
mtangazaji asota rumande vyombo habari vikionywa kenya,7
simba bwana,2
ded bagamoyo inafikika inapitika,4
kwaheri mzee apson,3
familia yambana toure kuondoka england,5
chama walimu chapata msaada bilioni,5
mahita amfunda igp sirro,4
mbwana samatta aibuka bungeni,4
wanne waachiwa kesi dk mvungi,5
asasi kiraia zataka uchunguzi kifo mmiliki shule,7
wanariadha kuanza kambi jumanne,4
‘maguri ataisaidia stars kuiua algeria’,5
wapania kuwezesha wawekezaji wadogo kilimo umwagiliaji,6
mbowe wenzake wiki kujinasua kortini,5
wabunge madiwani walipwe posho zao,5
samatta rasmi aston villa,4
mwauwasa yapongezwa ubunifu,3
amber rose akanusha lil pump,5
polisi lawamani kesi mimba,4
msolla ataka wachezaji yanga kufuata sheria,6
mtoto aambukizwa virusi corona,4
mauzo soko hisa dar yaporomoka,5
amber rose nitarudi ubora wangu,5
kampuni airtel yatua soko hisa dar,6
ben pol sijafikiria kuoa,4
fifa yamtaka malinzi tff yamkataa karia,6
yazidi kuaminiwa umoja mataifa,4
serikali haitazuia uingizaji samaki,4
bmt yataka vyama vifanye uchaguzi,5
masoud djouma byebye simba,4
‘tanzania morocco ziwe tume kudumu pamoja’,6
smz yaipongeza serikali cuba,4
malinzi awapa tano taifa stars,5
vanessa in love money imeniweka mashabiki,6
benki boa yashusha riba nyumba,5
tamasha pasaka latoa mkono idd,5
ronaldo apania kumfikia messi,4
makonda ampa neno mrithi,4
majaliwa asisitiza utawala bora huduma kibenki,6
mji wenye paka kuliko,4
anayempikia trump hula mayai asubuhi kuku wanne mchana,8
vigogo halotel waendelea kusota rumande miezi mitatu,7
simba chereko azam yaiduwaza yanga,5
bunge lamkataa cag mdee atupwa korokoroni,6
polisi waua majambazi,3
afande sele wanaonipiga zengwe hofu nitawashinda,6
singano ajifunga azam,3
who wasife umasikini,3
samia kufungua maonesho sabasaba,4
aunt ezekiel wangu kupata watoto,5
profesa kilian ajenda rushwa ilirudisha umaarufu ccm,7
wabunge eala wapitisha bajeti,4
serikali barick zaingia ubia kuunda kampuni twiga minerals kusimamia migodi mitatu,11
trey song kufanya ‘colabo’ wizkid davido,6
snura sivai nguo utupu,4
etihad yaadhimisha miaka huduma india,5
mafuriko yaua maharusi wakitoka kufunga ndoa,6
yanga yatamba kuifunga pyramids,4
huddah apewa ubalozi puma,4
kijana mrefu kupata matibabu,4
waliofariki dunia kuungua wafikia,4
usajili alama vidole wateja vodacom wafungiwa huduma,7
idadi wagonjwa corona nchini yaongezeka,5
ariana grande kusaidia mazishi,4
bocco arejea dimbani kuivaa azam fc,6
serikali yapiga kufuli kiwanda bubu dhahabu,6
rais kikwete kuzindua filamu mamba,5
maximo atuma maombi mechi mbili kimataifa,6
mwaka ajali mabasi bodaboda zaongoza,5
brazil yawekeza mabilioni pamba eac,5
wapinzani uganda wafurahi besigye bobi wine kukutana,7
mfumo soko bidhaa utainua kilimo,5
meya ubungo awakumbuka yatima,4
simba yanga marufuku uwanja taifa,5
vifo mama mtoto bado tishio – tgnp,7
kagere chama karantini,3
mshambuliaji simba atamba kufufukia kmc,5
nida kufanya kazi usiku mchana,5
sirro uhalifu nchini umepungua asilimia,5
kamata kolabo zilizombamba,3
yanga yapata mbinu kuwaua alger,5
serikali yatoa tamko waliofariki wakikanyaga mafuta,6
magufuli awapa neema machinga,4
wafanyakazi wajipanga kumng’oa katibu mkuu tucta,6
‘kutekwa’ clouds media mazito yaibuka,5
merkel ulaya ipambane ugaidi afrika magharibi,6
kampeni usafi yaungwa mkono kimataifa,5
﻿kizimbani wizi magari manne bilioni,5
saintpaulia ua kipekee duniani linalopatikana,5
trump apendekeza adhabu kifo wauza dawa kelevya,7
mawaziri sadc wataka kiswahili iwe lugha,6
wataka viwanda alizeti viwiane kilimo,5
